"district_en","day","case"
"Tsuen Wan","2020-02-23","0"
"Tuen Mun","2020-02-23","3"
"Yuen Long","2020-02-23","1"
"North","2020-02-23","0"
"Tai Po","2020-02-23","0"
"Sha Tin","2020-02-23","1"
"Sai Kung","2020-02-23","2"
"Islands","2020-02-23","0"
"Central & Western","2020-02-24","1"
"Wan Chai","2020-02-24","2"
"Eastern","2020-02-24","7"
"Southern","2020-02-24","4"
"Yau Tsim Mong","2020-02-24","0"
"Sham Shui Po","2020-02-24","0"
"Kowloon City","2020-02-24","0"
"Wong Tai Sin","2020-02-24","1"
"Kwun Tong","2020-02-24","4"
"Kwai Tsing","2020-02-24","2"
"Tsuen Wan","2020-02-24","0"
"Tuen Mun","2020-02-24","3"
"Yuen Long","2020-02-24","2"
"North","2020-02-24","0"
"Tai Po","2020-02-24","0"
"Sha Tin","2020-02-24","0"
"Sai Kung","2020-02-24","2"
"Islands","2020-02-24","0"
"Central & Western","2020-02-25","1"
"Wan Chai","2020-02-25","3"
"Eastern","2020-02-25","7"
"Southern","2020-02-25","2"
"Yau Tsim Mong","2020-02-25","0"
"Sham Shui Po","2020-02-25","0"
"Kowloon City","2020-02-25","0"
"Wong Tai Sin","2020-02-25","1"
"Kwun Tong","2020-02-25","4"
"Kwai Tsing","2020-02-25","1"
"Tsuen Wan","2020-02-25","0"
"Tuen Mun","2020-02-25","2"
"Yuen Long","2020-02-25","2"
"North","2020-02-25","0"
"Tai Po","2020-02-25","0"
"Sha Tin","2020-02-25","0"
"Sai Kung","2020-02-25","1"
"Islands","2020-02-25","0"
"Central & Western","2020-02-26","1"
"Wan Chai","2020-02-26","3"
"Eastern","2020-02-26","8"
"Southern","2020-02-26","2"
"Yau Tsim Mong","2020-02-26","0"
"Sham Shui Po","2020-02-26","0"
"Kowloon City","2020-02-26","0"
"Wong Tai Sin","2020-02-26","1"
"Kwun Tong","2020-02-26","4"
"Kwai Tsing","2020-02-26","1"
"Tsuen Wan","2020-02-26","0"
"Tuen Mun","2020-02-26","2"
"Yuen Long","2020-02-26","2"
"North","2020-02-26","0"
"Tai Po","2020-02-26","0"
"Sha Tin","2020-02-26","0"
"Sai Kung","2020-02-26","1"
"Islands","2020-02-26","0"
"Central & Western","2020-02-27","1"
"Wan Chai","2020-02-27","2"
"Eastern","2020-02-27","9"
"Southern","2020-02-27","2"
"Yau Tsim Mong","2020-02-27","0"
"Sham Shui Po","2020-02-27","0"
"Kowloon City","2020-02-27","0"
"Wong Tai Sin","2020-02-27","1"
"Kwun Tong","2020-02-27","4"
"Kwai Tsing","2020-02-27","0"
"Tsuen Wan","2020-02-27","0"
"Tuen Mun","2020-02-27","1"
"Yuen Long","2020-02-27","2"
"North","2020-02-27","0"
"Tai Po","2020-02-27","0"
"Sha Tin","2020-02-27","0"
"Sai Kung","2020-02-27","2"
"Islands","2020-02-27","0"
"Central & Western","2020-02-28","0"
"Wan Chai","2020-02-28","2"
"Eastern","2020-02-28","9"
"Southern","2020-02-28","1"
"Yau Tsim Mong","2020-02-28","0"
"Sham Shui Po","2020-02-28","0"
"Kowloon City","2020-02-28","0"
"Wong Tai Sin","2020-02-28","1"
"Kwun Tong","2020-02-28","4"
"Kwai Tsing","2020-02-28","0"
"Tsuen Wan","2020-02-28","0"
"Tuen Mun","2020-02-28","1"
"Yuen Long","2020-02-28","2"
"North","2020-02-28","0"
"Tai Po","2020-02-28","0"
"Sha Tin","2020-02-28","0"
"Sai Kung","2020-02-28","2"
"Islands","2020-02-28","0"
"Central & Western","2020-02-29","0"
"Wan Chai","2020-02-29","2"
"Eastern","2020-02-29","8"
"Southern","2020-02-29","1"
"Yau Tsim Mong","2020-02-29","0"
"Sham Shui Po","2020-02-29","0"
"Kowloon City","2020-02-29","0"
"Wong Tai Sin","2020-02-29","1"
"Kwun Tong","2020-02-29","4"
"Kwai Tsing","2020-02-29","0"
"Tsuen Wan","2020-02-29","0"
"Tuen Mun","2020-02-29","1"
"Yuen Long","2020-02-29","2"
"North","2020-02-29","0"
"Tai Po","2020-02-29","0"
"Sha Tin","2020-02-29","0"
"Sai Kung","2020-02-29","2"
"Islands","2020-02-29","0"
"Central & Western","2020-03-01","0"
"Wan Chai","2020-03-01","2"
"Eastern","2020-03-01","8"
"Southern","2020-03-01","1"
"Yau Tsim Mong","2020-03-01","0"
"Sham Shui Po","2020-03-01","1"
"Kowloon City","2020-03-01","0"
"Wong Tai Sin","2020-03-01","1"
"Kwun Tong","2020-03-01","5"
"Kwai Tsing","2020-03-01","0"
"Tsuen Wan","2020-03-01","0"
"Tuen Mun","2020-03-01","1"
"Yuen Long","2020-03-01","2"
"North","2020-03-01","0"
"Tai Po","2020-03-01","0"
"Sha Tin","2020-03-01","0"
"Sai Kung","2020-03-01","2"
"Islands","2020-03-01","0"
"Central & Western","2020-03-02","0"
"Wan Chai","2020-03-02","3"
"Eastern","2020-03-02","7"
"Southern","2020-03-02","1"
"Yau Tsim Mong","2020-03-02","0"
"Sham Shui Po","2020-03-02","1"
"Kowloon City","2020-03-02","0"
"Wong Tai Sin","2020-03-02","0"
"Kwun Tong","2020-03-02","5"
"Kwai Tsing","2020-03-02","0"
"Tsuen Wan","2020-03-02","0"
"Tuen Mun","2020-03-02","1"
"Yuen Long","2020-03-02","2"
"North","2020-03-02","0"
"Tai Po","2020-03-02","0"
"Sha Tin","2020-03-02","0"
"Sai Kung","2020-03-02","1"
"Islands","2020-03-02","0"
"Central & Western","2020-03-03","0"
"Wan Chai","2020-03-03","3"
"Eastern","2020-03-03","7"
"Southern","2020-03-03","1"
"Yau Tsim Mong","2020-03-03","0"
"Sham Shui Po","2020-03-03","1"
"Kowloon City","2020-03-03","0"
"Wong Tai Sin","2020-03-03","0"
"Kwun Tong","2020-03-03","4"
"Kwai Tsing","2020-03-03","0"
"Tsuen Wan","2020-03-03","0"
"Tuen Mun","2020-03-03","1"
"Yuen Long","2020-03-03","2"
"North","2020-03-03","0"
"Tai Po","2020-03-03","0"
"Sha Tin","2020-03-03","0"
"Sai Kung","2020-03-03","1"
"Islands","2020-03-03","0"
"Central & Western","2020-03-04","0"
"Wan Chai","2020-03-04","4"
"Eastern","2020-03-04","6"
"Southern","2020-03-04","1"
"Yau Tsim Mong","2020-03-04","0"
"Sham Shui Po","2020-03-04","1"
"Kowloon City","2020-03-04","0"
"Wong Tai Sin","2020-03-04","0"
"Kwun Tong","2020-03-04","4"
"Kwai Tsing","2020-03-04","0"
"Tsuen Wan","2020-03-04","0"
"Tuen Mun","2020-03-04","0"
"Yuen Long","2020-03-04","2"
"North","2020-03-04","0"
"Tai Po","2020-03-04","0"
"Sha Tin","2020-03-04","0"
"Sai Kung","2020-03-04","1"
"Islands","2020-03-04","0"
"Central & Western","2020-03-05","0"
"Wan Chai","2020-03-05","4"
"Eastern","2020-03-05","6"
"Southern","2020-03-05","1"
"Yau Tsim Mong","2020-03-05","0"
"Sham Shui Po","2020-03-05","1"
"Kowloon City","2020-03-05","0"
"Wong Tai Sin","2020-03-05","0"
"Kwun Tong","2020-03-05","3"
"Kwai Tsing","2020-03-05","0"
"Tsuen Wan","2020-03-05","0"
"Tuen Mun","2020-03-05","0"
"Yuen Long","2020-03-05","1"
"North","2020-03-05","0"
"Tai Po","2020-03-05","0"
"Sha Tin","2020-03-05","0"
"Sai Kung","2020-03-05","1"
"Islands","2020-03-05","0"
"Central & Western","2020-03-06","1"
"Wan Chai","2020-03-06","4"
"Eastern","2020-03-06","6"
"Southern","2020-03-06","2"
"Yau Tsim Mong","2020-03-06","0"
"Sham Shui Po","2020-03-06","1"
"Kowloon City","2020-03-06","0"
"Wong Tai Sin","2020-03-06","0"
"Kwun Tong","2020-03-06","2"
"Kwai Tsing","2020-03-06","0"
"Tsuen Wan","2020-03-06","0"
"Tuen Mun","2020-03-06","0"
"Yuen Long","2020-03-06","1"
"North","2020-03-06","0"
"Tai Po","2020-03-06","0"
"Sha Tin","2020-03-06","0"
"Sai Kung","2020-03-06","1"
"Islands","2020-03-06","0"
"Central & Western","2020-03-07","1"
"Wan Chai","2020-03-07","5"
"Eastern","2020-03-07","6"
"Southern","2020-03-07","2"
"Yau Tsim Mong","2020-03-07","0"
"Sham Shui Po","2020-03-07","1"
"Kowloon City","2020-03-07","0"
"Wong Tai Sin","2020-03-07","0"
"Kwun Tong","2020-03-07","2"
"Kwai Tsing","2020-03-07","0"
"Tsuen Wan","2020-03-07","0"
